customer_id,signup_date,country,acquisition_channel,is_subscribed
1,2023-04-13,UK,Organic,0
2,2023-12-15,UK,Organic,1
3,2023-09-28,UK,Social,0
4,2023-04-17,DE,Paid Ads,0
5,2023-03-13,UK,Paid Ads,0
6,2023-07-08,IT,Email,1
7,2023-01-21,NL,Paid Ads,1
8,2023-04-13,UK,Paid Ads,1
9,2023-05-02,US,Organic,0
10,2023-08-03,UK,Email,0
11,2023-11-27,DE,Organic,0
12,2023-03-29,US,Organic,1
13,2023-04-10,UK,Organic,1
14,2023-12-26,UK,Organic,1
15,2023-06-01,FR,Organic,1
16,2023-05-11,US,Referral,0
17,2023-05-30,UK,Organic,0
18,2023-11-05,FR,Referral,1
19,2023-09-15,DE,Organic,1
20,2023-12-10,IT,Organic,1
21,2023-10-21,UK,Paid Ads,1
22,2023-07-11,ES,Social,0
23,2023-10-04,FR,Email,0
24,2023-06-10,UK,Social,0
25,2023-11-10,FR,Referral,0
26,2023-01-22,US,Referral,1
27,2023-09-10,IT,Paid Ads,1
28,2023-08-24,UK,Paid Ads,1
29,2023-12-11,DE,Organic,0
30,2023-02-18,US,Paid Ads,0
31,2023-02-28,NL,Organic,0
32,2023-06-19,UK,Paid Ads,1
33,2023-07-07,NL,Paid Ads,0
34,2023-09-28,IT,Organic,1
35,2023-07-09,UK,Organic,1
36,2023-06-24,ES,Organic,1
37,2023-02-20,NL,Social,0
38,2023-12-30,UK,Organic,0
39,2023-02-24,US,Organic,0
40,2023-09-01,US,Email,1
41,2023-11-16,UK,Paid Ads,1
42,2023-05-11,UK,Organic,1
43,2023-11-03,UK,Organic,1
44,2023-05-15,UK,Organic,1
45,2023-01-21,US,Organic,0
46,2023-11-25,UK,Organic,1
47,2023-06-16,IT,Paid Ads,0
48,2023-10-01,FR,Email,0
49,2023-03-30,UK,Paid Ads,1
50,2023-11-12,FR,Paid Ads,1
51,2023-01-14,FR,Organic,0
52,2023-08-30,NL,Organic,0
53,2023-09-22,UK,Email,1
54,2023-12-12,UK,Organic,0
55,2023-02-22,IT,Email,1
56,2023-12-06,IT,Paid Ads,0
57,2023-04-02,FR,Email,1
58,2023-09-21,ES,Organic,0
59,2023-02-04,UK,Organic,0
60,2023-07-25,US,Email,0
61,2023-03-22,UK,Email,1
62,2023-02-19,UK,Organic,1
63,2023-12-26,ES,Social,0
64,2023-01-02,UK,Organic,0
65,2023-02-23,US,Organic,0
66,2023-04-16,IT,Paid Ads,1
67,2023-09-17,UK,Referral,1
68,2023-11-06,NL,Social,0
69,2023-07-10,NL,Paid Ads,1
70,2023-08-06,DE,Organic,1
71,2023-02-13,UK,Paid Ads,0
72,2023-06-11,UK,Organic,0
73,2023-07-21,US,Paid Ads,1
74,2023-09-27,UK,Paid Ads,1
75,2023-12-17,UK,Organic,0
76,2023-10-31,NL,Paid Ads,1
77,2023-09-28,UK,Paid Ads,0
78,2023-08-03,FR,Referral,1
79,2023-09-09,UK,Paid Ads,1
80,2023-07-09,DE,Organic,0
81,2023-10-23,IT,Organic,0
82,2023-08-01,UK,Organic,1
83,2023-07-27,UK,Organic,1
84,2023-08-25,FR,Referral,1
85,2023-12-04,FR,Social,0
86,2023-02-22,FR,Referral,1
87,2023-10-07,UK,Paid Ads,0
88,2023-08-05,UK,Paid Ads,0
89,2023-09-09,NL,Organic,0
90,2023-07-07,IT,Social,0
91,2023-02-10,US,Social,0
92,2023-06-06,ES,Paid Ads,1
93,2023-01-15,US,Organic,1
94,2023-10-28,US,Email,1
95,2023-03-06,UK,Organic,0
96,2023-12-11,US,Email,0
97,2023-11-23,US,Email,1
98,2023-01-09,UK,Organic,0
99,2023-12-10,US,Social,0
100,2023-05-09,ES,Social,0
101,2023-05-16,FR,Social,1
102,2023-03-04,DE,Paid Ads,1
103,2023-05-19,IT,Organic,0
104,2023-03-22,UK,Paid Ads,1
105,2023-06-12,DE,Paid Ads,0
106,2023-10-16,ES,Organic,0
107,2023-09-18,US,Paid Ads,0
108,2023-08-19,UK,Referral,0
109,2023-02-10,UK,Organic,0
110,2023-01-28,IT,Organic,1
111,2023-05-15,US,Organic,0
112,2023-07-20,IT,Referral,0
113,2023-11-24,DE,Paid Ads,0
114,2023-09-25,FR,Organic,1
115,2023-02-02,ES,Social,1
116,2023-02-17,FR,Organic,1
117,2023-03-03,US,Paid Ads,0
118,2023-08-04,US,Email,1
119,2023-10-20,ES,Email,0
120,2023-04-09,US,Organic,0
121,2023-06-21,US,Social,1
122,2023-12-26,UK,Social,0
123,2023-08-02,IT,Paid Ads,1
124,2023-02-04,UK,Paid Ads,0
125,2023-08-15,DE,Organic,1
126,2023-04-11,US,Paid Ads,1
127,2023-05-11,US,Paid Ads,1
128,2023-09-14,FR,Email,0
129,2023-01-05,UK,Paid Ads,0
130,2023-08-06,DE,Referral,1
131,2023-09-12,ES,Organic,1
132,2023-12-25,ES,Organic,0
133,2023-10-10,UK,Organic,1
134,2023-07-26,IT,Organic,0
135,2023-01-15,FR,Paid Ads,0
136,2023-12-12,IT,Email,0
137,2023-02-11,US,Paid Ads,0
138,2023-06-28,US,Paid Ads,1
139,2023-03-04,IT,Referral,1
140,2023-12-18,IT,Organic,1
141,2023-08-19,US,Organic,1
142,2023-08-29,UK,Organic,0
143,2023-02-21,US,Referral,1
144,2023-04-06,US,Organic,0
145,2023-08-10,UK,Organic,0
146,2023-08-19,UK,Paid Ads,1
147,2023-08-25,IT,Social,1
148,2023-05-23,UK,Paid Ads,1
149,2023-06-20,FR,Email,1
150,2023-01-29,UK,Referral,0
151,2023-02-05,UK,Paid Ads,0
152,2023-01-13,UK,Referral,0
153,2023-06-09,UK,Email,0
154,2023-11-23,ES,Organic,1
155,2023-07-06,IT,Organic,1
156,2023-08-31,UK,Organic,0
157,2023-03-27,US,Paid Ads,1
158,2023-10-11,US,Email,1
159,2023-03-07,IT,Organic,0
160,2023-06-19,ES,Organic,0
161,2023-02-14,US,Email,0
162,2023-03-03,FR,Paid Ads,1
163,2023-05-14,ES,Paid Ads,0
164,2023-10-11,UK,Email,1
165,2023-01-28,US,Paid Ads,0
166,2023-04-18,IT,Referral,1
167,2023-02-13,FR,Organic,1
168,2023-12-06,US,Organic,0
169,2023-10-13,US,Paid Ads,0
170,2023-11-27,UK,Paid Ads,0
171,2023-05-08,US,Social,1
172,2023-12-14,FR,Social,0
173,2023-08-19,US,Email,0
174,2023-07-09,FR,Organic,0
175,2023-08-13,IT,Social,1
176,2023-10-10,UK,Referral,1
177,2023-05-01,US,Organic,0
178,2023-04-26,US,Referral,0
179,2023-08-21,FR,Organic,0
180,2023-09-16,UK,Organic,1
181,2023-12-25,DE,Email,0
182,2023-07-17,IT,Paid Ads,0
183,2023-05-17,US,Organic,1
184,2023-11-14,IT,Paid Ads,0
185,2023-06-14,NL,Social,1
186,2023-08-13,UK,Paid Ads,1
187,2023-11-03,UK,Organic,0
188,2023-08-22,NL,Organic,0
189,2023-06-21,NL,Organic,0
190,2023-06-01,UK,Social,1
191,2023-11-11,UK,Paid Ads,1
192,2023-06-09,UK,Paid Ads,0
193,2023-04-06,NL,Paid Ads,1
194,2023-08-21,UK,Email,0
195,2023-06-29,US,Paid Ads,1
196,2023-04-23,ES,Referral,0
197,2023-11-14,UK,Organic,0
198,2023-02-21,DE,Organic,1
199,2023-09-25,UK,Social,0
200,2023-10-22,IT,Social,1
201,2023-04-23,UK,Social,1
202,2023-04-11,FR,Social,0
203,2023-04-23,FR,Email,0
204,2023-03-22,UK,Referral,1
205,2023-07-06,UK,Email,0
206,2023-04-23,US,Paid Ads,1
207,2023-01-02,UK,Organic,1
208,2023-05-10,ES,Organic,0
209,2023-08-08,ES,Social,0
210,2023-02-23,US,Organic,0
211,2023-12-09,DE,Email,0
212,2023-08-12,DE,Organic,0
213,2023-08-13,ES,Organic,0
214,2023-05-06,US,Organic,1
215,2023-05-10,UK,Organic,0
216,2023-02-22,UK,Organic,0
217,2023-06-21,US,Organic,0
218,2023-08-06,US,Email,0
219,2023-06-09,US,Organic,1
220,2023-07-17,UK,Organic,1
221,2023-09-04,FR,Organic,0
222,2023-11-20,UK,Referral,1
223,2023-07-22,UK,Paid Ads,0
224,2023-07-03,US,Paid Ads,0
225,2023-05-03,UK,Organic,0
226,2023-09-12,DE,Organic,0
227,2023-10-21,US,Referral,1
228,2023-10-07,US,Email,0
229,2023-11-21,US,Organic,0
230,2023-04-08,UK,Paid Ads,1
231,2023-07-17,UK,Organic,1
232,2023-08-28,IT,Organic,1
233,2023-05-24,US,Referral,0
234,2023-04-07,US,Paid Ads,1
235,2023-07-20,UK,Organic,1
236,2023-05-04,US,Organic,1
237,2023-07-06,DE,Social,0
