order_item_id,order_id,product_category,quantity,unit_price
1,1,Accessories,3,47.09
2,1,Sports,1,18.89
3,2,Clothing,1,11.89
4,2,Clothing,2,21.12
5,2,Electronics,2,107.88
6,3,Home,3,69.41
7,3,Home,3,1.0
8,4,Accessories,2,30.71
9,4,Electronics,3,50.57
10,4,Accessories,3,1.0
11,5,Clothing,3,38.12
12,5,Electronics,3,39.51
13,5,Home,1,1.0
14,6,Accessories,2,54.79
15,6,Home,3,47.18
16,6,Accessories,2,88.03
17,6,Sports,1,34.33
18,6,Electronics,1,1.0
19,7,Beauty,2,7.26
20,7,Electronics,1,68.94
21,7,Home,3,2.51
22,8,Electronics,2,23.5
23,9,Beauty,3,11.89
24,10,Sports,2,55.82
25,11,Clothing,1,51.86
26,11,Beauty,1,59.59
27,11,Electronics,3,66.18
28,11,Electronics,1,1.0
29,12,Sports,2,24.11
30,12,Accessories,1,92.32
31,12,Home,1,58.23
32,13,Clothing,3,70.8
33,13,Electronics,1,1.0
34,14,Sports,3,57.36
35,14,Clothing,1,1.0
36,15,Accessories,3,37.57
37,15,Accessories,3,64.12
38,15,Electronics,3,79.84
39,15,Clothing,3,61.92
40,15,Electronics,2,1.0
41,16,Sports,1,33.34
42,16,Electronics,3,48.18
43,16,Electronics,1,1.0
44,17,Beauty,2,47.54
45,17,Home,2,13.84
46,17,Sports,1,54.86
47,17,Sports,1,143.34
48,18,Beauty,3,88.97
49,18,Clothing,2,63.61
50,18,Accessories,1,88.5
51,18,Accessories,2,1.0
52,19,Clothing,1,27.03
53,19,Sports,2,70.41
54,19,Sports,2,53.51
55,19,Home,2,6.63
56,19,Accessories,3,1.0
57,20,Home,3,94.11
58,20,Clothing,1,1.0
59,21,Home,2,62.02
60,21,Electronics,3,90.95
61,21,Electronics,3,1.0
62,22,Beauty,3,60.12
63,22,Beauty,1,1.0
64,23,Accessories,2,32.22
65,24,Clothing,3,75.11
66,24,Electronics,3,74.48
67,24,Clothing,1,1.0
68,25,Electronics,1,44.55
69,26,Home,1,48.17
70,26,Sports,2,33.84
71,26,Home,2,36.58
72,27,Accessories,3,62.54
73,27,Electronics,1,19.53
74,27,Home,3,57.32
75,27,Home,2,51.87
76,27,Sports,1,1.0
77,28,Electronics,2,52.2
78,28,Electronics,3,87.65
79,28,Home,3,62.29
80,28,Clothing,2,1.0
81,29,Clothing,1,93.75
82,29,Home,3,1.0
83,30,Electronics,3,94.5
84,30,Clothing,2,87.16
85,30,Clothing,3,1.0
86,31,Home,2,66.63
87,31,Electronics,2,18.86
88,31,Sports,1,1.0
89,32,Accessories,3,47.28
90,32,Electronics,1,1.0
91,33,Home,2,24.79
92,33,Clothing,3,41.37
93,34,Beauty,1,58.46
94,35,Sports,1,38.44
95,35,Clothing,3,66.85
96,35,Home,2,1.0
97,36,Accessories,3,39.15
98,36,Accessories,3,11.69
99,36,Clothing,2,49.59
100,36,Home,2,1.0
101,37,Sports,1,67.0
102,38,Sports,2,27.75
103,39,Home,2,66.11
104,39,Beauty,2,8.7
105,39,Home,1,1.0
106,40,Clothing,2,80.22
107,40,Clothing,3,86.82
108,40,Electronics,1,52.98
109,40,Clothing,3,84.88
110,40,Beauty,2,1.0
111,41,Clothing,2,52.7
112,41,Sports,1,1.0
113,42,Electronics,3,8.07
114,42,Beauty,3,73.83
115,42,Accessories,1,1.0
116,43,Sports,2,99.32
117,43,Home,1,92.71
118,43,Sports,2,83.94
119,43,Clothing,1,7.59
120,43,Clothing,2,1.0
121,44,Beauty,2,89.91
122,44,Beauty,3,18.2
123,44,Clothing,3,93.16
124,44,Sports,3,1.0
125,45,Beauty,2,12.49
126,45,Home,2,83.18
127,45,Beauty,3,53.28
128,45,Sports,3,75.38
129,45,Home,1,1.0
130,46,Beauty,2,16.54
131,47,Accessories,3,25.34
132,48,Clothing,1,180.43
133,49,Sports,1,46.32
134,49,Clothing,1,79.85
135,49,Accessories,3,76.54
136,49,Accessories,3,1.0
137,50,Home,2,62.82
138,50,Clothing,2,88.23
139,50,Electronics,1,1.0
140,51,Home,2,64.49
141,52,Electronics,1,8.14
142,52,Beauty,1,215.22
143,53,Electronics,2,22.01
144,53,Sports,2,6.93
145,53,Electronics,1,1.0
146,54,Sports,1,93.5
147,54,Home,3,21.32
148,54,Sports,2,25.98
149,54,Electronics,2,1.0
150,55,Home,3,25.84
151,55,Accessories,1,23.2
152,55,Electronics,1,22.75
153,56,Beauty,3,38.56
154,57,Electronics,1,94.64
155,57,Home,1,50.77
156,57,Home,2,1.0
