order_id,customer_id,order_date,order_value,discount_applied,payment_method
1,1,2023-09-15,160.16,8.01,PayPal
2,2,2024-12-09,269.89,13.49,Apple Pay
3,2,2024-04-02,34.86,3.49,Card
4,3,2024-04-04,78.44,0.0,Card
5,3,2024-02-05,104.01,0.0,Google Pay
6,3,2023-12-13,145.89,14.59,Apple Pay
7,4,2023-08-02,91.0,0.0,Google Pay
8,4,2023-08-27,46.99,0.0,Apple Pay
9,4,2023-09-19,35.67,0.0,Apple Pay
10,5,2024-03-06,111.64,0.0,Card
11,6,2024-04-25,107.2,10.72,Card
12,6,2023-11-24,198.77,29.82,Google Pay
13,7,2023-07-20,202.92,20.29,Google Pay
14,8,2023-09-23,165.12,0.0,Google Pay
15,9,2023-11-15,62.9,0.0,Google Pay
16,10,2024-07-14,60.56,0.0,Google Pay
17,10,2023-12-28,320.96,0.0,PayPal
18,11,2024-05-09,59.7,5.97,Google Pay
19,11,2024-10-24,135.5,13.55,Google Pay
20,11,2024-09-23,80.71,0.0,PayPal
21,11,2023-12-17,160.91,16.09,Google Pay
22,12,2023-03-30,50.37,7.56,Card
23,12,2023-10-06,64.44,6.44,Apple Pay
24,12,2023-11-16,12.53,0.63,PayPal
25,13,2023-08-27,44.55,4.46,Card
26,13,2023-11-10,189.01,9.45,Card
27,14,2024-11-07,25.04,0.0,Apple Pay
28,14,2024-01-22,193.2,0.0,PayPal
29,15,2023-08-02,20.53,0.0,Apple Pay
30,15,2023-10-03,171.67,0.0,Card
31,16,2023-08-02,121.62,18.24,Apple Pay
32,17,2023-10-19,46.61,6.99,Card
33,17,2023-06-30,173.68,0.0,Apple Pay
34,17,2023-07-11,58.46,2.92,Card
35,18,2024-02-07,55.29,0.0,Google Pay
36,18,2024-09-24,94.45,0.0,Card
37,18,2024-07-26,67.0,0.0,Google Pay
38,18,2024-05-02,55.5,0.0,Apple Pay
39,18,2024-03-10,16.07,0.8,PayPal
40,18,2024-02-16,106.77,16.02,Google Pay
41,19,2024-01-11,42.53,0.0,PayPal
42,19,2024-07-21,136.24,0.0,Card
43,19,2024-03-01,153.21,0.0,Card
44,20,2024-11-23,46.34,4.63,PayPal
45,21,2023-12-02,197.03,0.0,Card
46,22,2024-05-12,33.07,0.0,Card
47,22,2023-10-12,76.01,0.0,Card
48,22,2024-05-10,180.43,0.0,Google Pay
